pause_id,pause_type,source_surface,constitution_range,zone_or_span,evidence_strength,supporting_rows,boundary_note
pause_001,spacing_hold,hollow_candidate_surface_v1,50,cross_null_zone,supported,1,spacing or low-transition behavior may support lawful pause
pause_002,spacing_hold,hollow_candidate_surface_v1,75,cross_null_zone,supported,1,spacing or low-transition behavior may support lawful pause
pause_003,spacing_hold,hollow_candidate_surface_v1,100,cross_null_zone,supported,1,spacing or low-transition behavior may support lawful pause
pause_004,spacing_hold,hollow_candidate_surface_v1,150,cross_null_zone,supported,1,spacing or low-transition behavior may support lawful pause
pause_005,spacing_hold,hollow_candidate_surface_v1,200,cross_null_zone,supported,1,spacing or low-transition behavior may support lawful pause
pause_006,spacing_hold,hollow_candidate_surface_v1,250,cross_null_zone,supported,1,spacing or low-transition behavior may support lawful pause
pause_007,spacing_hold,hollow_candidate_surface_v1,350,cross_null_zone,supported,1,spacing or low-transition behavior may support lawful pause
pause_008,spacing_hold,hollow_candidate_surface_v1,500,cross_null_zone,supported,1,spacing or low-transition behavior may support lawful pause
pause_009,spacing_hold,hollow_candidate_surface_v1,750,cross_null_zone,supported,1,spacing or low-transition behavior may support lawful pause
pause_010,spacing_hold,hollow_candidate_surface_v1,broad,null_zone,mixed,1,spacing or low-transition behavior may support lawful pause
pause_011,continuity_hold,middle_feature_relation_read_v1,50->75,1801-1806,supported,1,high-overlap continuation suggests low-deformation hold
pause_012,continuity_hold,middle_feature_relation_read_v1,50->75,1951-1953,supported,1,high-overlap continuation suggests low-deformation hold
pause_013,continuity_hold,middle_feature_relation_read_v1,75->100,1801-1807,supported,1,high-overlap continuation suggests low-deformation hold
pause_014,continuity_hold,middle_feature_relation_read_v1,100->150,1801-1807,supported,1,high-overlap continuation suggests low-deformation hold
pause_015,continuity_hold,middle_feature_relation_read_v1,150->200,1801-1807,supported,1,high-overlap continuation suggests low-deformation hold
pause_016,continuity_hold,middle_feature_relation_read_v1,250->350,1-212,supported,1,high-overlap continuation suggests low-deformation hold
pause_017,continuity_hold,middle_feature_relation_read_v1,250->350,1751-1764,supported,1,high-overlap continuation suggests low-deformation hold
pause_018,continuity_hold,middle_feature_relation_read_v1,350->500,1-222,supported,1,high-overlap continuation suggests low-deformation hold
pause_019,continuity_hold,middle_feature_relation_read_v1,500->750,1-222,supported,1,high-overlap continuation suggests low-deformation hold
pause_020,continuity_hold,middle_feature_relation_read_v1,500->750,1501-1516,supported,1,high-overlap continuation suggests low-deformation hold
pause_021,continuity_hold,middle_feature_relation_read_v1,750->1000,1-226,supported,1,high-overlap continuation suggests low-deformation hold
pause_022,unresolved_hold,grammar_signature_surface_v1,constitution_local_only,mixed_zone,weak_support,1,weak or mixed support preserved without promotion
pause_023,unresolved_hold,grammar_signature_surface_v1,broad_stable,null_zone,mixed,1,weak or mixed support preserved without promotion
