terrain,constitution,candidate_type,replay_status,evidence_strength,boundary_note
linux_candidate,50,spacing_basin,dissolves,insufficient_evidence,bounded replay only; no portability inference
linux_candidate,75,spacing_basin,dissolves,insufficient_evidence,bounded replay only; no portability inference
linux_candidate,100,spacing_basin,dissolves,insufficient_evidence,bounded replay only; no portability inference
linux_candidate,150,spacing_basin,survives,weak_support,bounded replay only; no portability inference
linux_candidate,200,spacing_basin,survives,weak_support,bounded replay only; no portability inference
linux_candidate,250,spacing_basin,survives,weak_support,bounded replay only; no portability inference
linux_candidate,350,spacing_basin,dissolves,insufficient_evidence,bounded replay only; no portability inference
linux_candidate,500,spacing_basin,dissolves,insufficient_evidence,bounded replay only; no portability inference
linux_candidate,750,spacing_basin,dissolves,insufficient_evidence,bounded replay only; no portability inference
linux_candidate,summary,spacing_basin,constitution_local_only,weak_support,spacing basin appears partially local rather than broadly portable
